name,host_star,ltr,disc_year,orb_period_ed,radius_e,circumference_k,circumference_m,mass_e,density_e,temp_c,temp_f,habit_code,solar_flux,disc_facility,disc_method
Kepler-860 b,Kepler-860,b,2016,5.1,3.24,129698,80595,10.6,0.3103,777,1431,0,233.62,Kepler,Transit
Kepler-861 b,Kepler-861,b,2016,3.95,2.28,91269,56715,5.8,0.49,693,1279,0,197.29,Kepler,Transit
Kepler-862 b,Kepler-862,b,2016,3.15,2.21,88467,54974,5.5,0.51,824,1515,0,547.29,Kepler,Transit
Kepler-863 b,Kepler-863,b,2016,15.59,2.9,116088,72138,8.8,0.3575,445,833,0,117.83,Kepler,Transit
Kepler-864 b,Kepler-864,b,2016,5.83,2.4,96072,59700,6.4,0.4574,870,1598,0,464.76,Kepler,Transit
Kepler-865 b,Kepler-865,b,2016,14.16,2.49,99675,61939,6.8,0.4374,421,790,0,46.36,Kepler,Transit
Kepler-866 b,Kepler-866,b,2016,2.62,1.63,65249,40546,3.3,0.7568,723,1333,0,196.13,Kepler,Transit
Kepler-867 b,Kepler-867,b,2016,150.24,4.64,185740,115421,19.4,0.1942,54,129,0,2.72,Kepler,Transit
Kepler-868 b,Kepler-868,b,2016,5.03,2.05,82062,50994,4.9,0.5626,774,1425,0,417.03,Kepler,Transit
Kepler-869 b,Kepler-869,b,2016,40.43,3.61,144509,89799,12.7,0.2686,221,430,0,17.23,Kepler,Transit
